ID,Username,Email,Team,Registration Date
1,test_user,test@example.com,Test Team,2025-08-07T08:12:16.234Z
2,qdff,zxcvbn,zxcvbn,2025-08-07T08:13:21.214Z
3,asdfghjk,sdfghj,jkljkl,2025-08-07T08:15:31.045Z
4,zxc,zxc,ghghgh,2025-08-07T08:16:04.113Z
5,john_doe,john@test.com,Red Team,2025-08-07T08:19:41.705Z
6,alice_smith,alice@test.com,Blue Team,2025-08-07T08:19:43.852Z
7,bob_wilson,bob@test.com,Green Team,2025-08-07T08:19:45.932Z
8,emma_brown,emma@test.com,Yellow Team,2025-08-07T08:19:48.027Z
9,david_clark,david@test.com,Purple Team,2025-08-07T08:19:50.100Z
10,test_final,final@test.com,Final Team,2025-08-07T08:36:37.679Z
11,final_test,final_test@test.com,Final Test Team,2025-08-07T08:43:24.376Z
12,john_doe,john@example.com,Red Team,2025-08-07T08:45:06.164Z
13,jane_smith,jane@example.com,Blue Team,2025-08-07T08:45:07.262Z
14,mike_wilson,mike@example.com,Green Team,2025-08-07T08:45:08.280Z
15,sarah_brown,sarah@example.com,Yellow Team,2025-08-07T08:45:09.310Z
16,alex_taylor,alex@example.com,Purple Team,2025-08-07T08:45:10.339Z
17,asd,asdf,asdfgh,2025-08-07T08:46:17.914Z
18,test_user,test@example.com,Test Team,2025-08-07T08:56:25.097Z
19,john_doe,john@example.com,Red Team,2025-08-07T09:00:19.895Z
20,jane_smith,jane@example.com,Blue Team,2025-08-07T09:00:20.913Z
21,mike_wilson,mike@example.com,Green Team,2025-08-07T09:00:21.946Z
22,sarah_brown,sarah@example.com,Yellow Team,2025-08-07T09:00:22.972Z
23,alex_taylor,alex@example.com,Purple Team,2025-08-07T09:00:24.000Z
24,lkjhgfdsaluytre,lkjhglkjhg,yellow,2025-08-07T09:01:45.089Z
25,john_doe,john@example.com,Red Team,2025-08-07T09:05:03.810Z
26,alice_smith,alice@example.com,Blue Team,2025-08-07T09:05:04.911Z
27,bob_wilson,bob@example.com,Green Team,2025-08-07T09:05:06.015Z
28,emma_brown,emma@example.com,Red Team,2025-08-07T09:05:07.083Z
29,mike_jones,mike@example.com,Blue Team,2025-08-07T09:05:08.174Z
30,tyd,ty,all,2025-08-07T09:06:51.074Z
31,u1q,gf,green,2025-08-07T09:12:21.161Z
32,you,you,goat,2025-08-07T09:13:31.116Z
33,final,final,final,2025-08-07T09:27:36.017Z
34,qqqqq,qqqqq,qqqqq,2025-08-07T09:29:00.998Z
35,ppp,ppp,pppppp,2025-08-13T14:13:15.602Z
36,lkj,lkj,lkjlkj,2025-08-20T11:29:16.457Z
